epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,554.002,1.61129,2.01759,1.61277,0.51253,0.55323,0.50878,0.23807,1.69024,1.9988,1.67749,0.000661728,0.000661728,0.000661728
2,1109.28,1.66922,1.66794,1.65772,0.52544,0.46816,0.46236,0.20575,1.94038,1.97057,1.84951,0.00119688,0.00119688,0.00119688
3,1670.72,1.68339,1.53062,1.65169,0.58339,0.54837,0.55713,0.26769,1.73587,1.84035,1.76818,0.00160004,0.00160004,0.00160004
4,2242.84,1.66009,1.40597,1.63528,0.69874,0.60476,0.66965,0.34847,1.58123,1.34657,1.60436,0.001406,0.001406,0.001406
5,2818.24,1.60467,1.31318,1.58441,0.71986,0.64657,0.71224,0.37621,1.53554,1.23147,1.55511,0.001208,0.001208,0.001208
6,3392.33,1.55431,1.19089,1.53852,0.71688,0.6597,0.73757,0.39913,1.53534,1.1718,1.53901,0.00101,0.00101,0.00101
7,3953.24,1.53715,1.16324,1.5206,0.77067,0.7438,0.81426,0.4569,1.44309,1.0134,1.48608,0.000812,0.000812,0.000812
8,4500.21,1.4897,1.08978,1.49402,0.79213,0.70442,0.79713,0.44049,1.47901,1.02157,1.50444,0.000614,0.000614,0.000614
9,5104.48,1.44903,1.00447,1.44626,0.77641,0.74477,0.8257,0.47132,1.39995,0.93874,1.44931,0.000416,0.000416,0.000416
10,5909.82,1.4206,0.96952,1.43259,0.82606,0.75957,0.85522,0.49761,1.36621,0.86769,1.41736,0.000218,0.000218,0.000218
